asset,kind,hazard_line,subregion,readiness_0_100,surge_hours_72h,annual_cost_musd,activation_hours,shares_crew_with,requires_cache,readiness_under_concurrent_season,activation_under_concurrent_season
FLD-NB-01,Team,Flood,North Basin,91.5,272,3.71,1.1,,,60.4,1.5
FLD-NB-02,Team,Flood,North Basin,87.7,275,3.63,1.7,WFR-NB-02,,57.9,2.4
FLD-NB-03,Cache,Flood,North Basin,66.2,69,0.80,4.4,,,43.7,6.2
FLD-NB-04,Mobile,Flood,North Basin,68.4,430,3.85,2.7,,FLD-NB-03,45.1,3.8
FLD-NB-05,Contract,Flood,North Basin,54.1,406,1.30,5.4,,,35.7,7.6
FLD-NB-06,Contract,Flood,North Basin,37.7,584,1.39,8.7,,,24.9,12.2
WFR-NB-01,Team,Wildfire,North Basin,94.2,275,3.98,1.5,,,,
WFR-NB-02,Team,Wildfire,North Basin,90.3,221,3.66,1.0,,,,
WFR-NB-03,Cache,Wildfire,North Basin,69.6,69,1.03,5.3,,,,
WFR-NB-04,Mobile,Wildfire,North Basin,81.4,468,4.46,2.4,,WFR-NB-03,,
WFR-NB-05,Contract,Wildfire,North Basin,36.0,441,1.34,10.6,,,,
QKE-NB-01,Team,Quake,North Basin,90.7,252,4.10,1.1,HZM-NB-01,,,
QKE-NB-02,Cache,Quake,North Basin,56.5,77,1.24,4.1,,,,
QKE-NB-03,Mobile,Quake,North Basin,69.4,398,4.25,2.5,,QKE-NB-02,,
QKE-NB-04,Contract,Quake,North Basin,35.9,416,1.60,9.4,,,,
STM-NB-01,Team,Storm,North Basin,75.1,243,3.02,1.0,,,,
STM-NB-02,Cache,Storm,North Basin,65.7,45,0.53,3.9,,,,
STM-NB-03,Mobile,Storm,North Basin,66.9,428,3.61,3.0,,STM-NB-02,,
STM-NB-04,Contract,Storm,North Basin,38.7,485,1.04,5.9,,,,
STM-NB-05,Contract,Storm,North Basin,37.4,464,0.99,8.8,,,,
HZM-NB-01,Team,Hazmat,North Basin,92.2,258,4.26,0.7,,,71.9,1.0
HZM-NB-02,Cache,Hazmat,North Basin,80.6,72,1.54,2.0,,,62.9,2.8
HZM-NB-03,Mobile,Hazmat,North Basin,74.5,341,4.24,2.8,,HZM-NB-02,58.1,3.9
HZM-NB-04,Contract,Hazmat,North Basin,44.6,466,1.88,11.5,,,34.8,16.1
FLD-HR-01,Team,Flood,Harbor Reach,83.4,257,3.46,1.1,,,55.0,1.5
FLD-HR-02,Team,Flood,Harbor Reach,86.7,272,3.60,1.4,WFR-HR-02,,57.2,2.0
FLD-HR-03,Cache,Flood,Harbor Reach,64.5,91,0.85,2.8,,,42.6,3.9
FLD-HR-04,Mobile,Flood,Harbor Reach,71.9,451,4.00,3.5,,FLD-HR-03,47.5,4.9
FLD-HR-05,Contract,Flood,Harbor Reach,44.7,395,1.17,7.8,,,29.5,10.9
FLD-HR-06,Contract,Flood,Harbor Reach,52.5,463,1.37,8.8,,,34.6,12.3
WFR-HR-01,Team,Wildfire,Harbor Reach,75.1,247,3.44,1.5,,,,
WFR-HR-02,Team,Wildfire,Harbor Reach,82.2,297,3.81,1.3,,,,
WFR-HR-03,Cache,Wildfire,Harbor Reach,75.3,99,1.17,3.2,,,,
WFR-HR-04,Mobile,Wildfire,Harbor Reach,73.1,373,3.93,2.5,,WFR-HR-03,,
WFR-HR-05,Contract,Wildfire,Harbor Reach,37.6,468,1.40,8.4,,,,
QKE-HR-01,Team,Quake,Harbor Reach,78.6,237,3.77,0.9,HZM-HR-01,,,
QKE-HR-02,Cache,Quake,Harbor Reach,59.4,82,1.28,5.3,,,,
QKE-HR-03,Mobile,Quake,Harbor Reach,65.9,394,4.17,3.2,,QKE-HR-02,,
QKE-HR-04,Contract,Quake,Harbor Reach,49.2,383,1.70,9.0,,,,
STM-HR-01,Team,Storm,Harbor Reach,82.6,298,3.42,0.5,,,,
STM-HR-02,Cache,Storm,Harbor Reach,50.9,83,0.51,4.6,,,,
STM-HR-03,Mobile,Storm,Harbor Reach,57.9,455,3.54,1.9,,STM-HR-02,,
STM-HR-04,Contract,Storm,Harbor Reach,48.7,505,1.19,8.5,,,,
STM-HR-05,Contract,Storm,Harbor Reach,27.2,436,0.82,9.1,,,,
HZM-HR-01,Team,Hazmat,Harbor Reach,93.7,244,4.24,0.8,,,73.1,1.1
HZM-HR-02,Cache,Hazmat,Harbor Reach,62.4,69,1.37,3.4,,,48.7,4.8
HZM-HR-03,Mobile,Hazmat,Harbor Reach,87.6,335,4.47,2.1,,HZM-HR-02,68.3,2.9
HZM-HR-04,Contract,Hazmat,Harbor Reach,44.7,359,1.71,8.6,,,34.9,12.0
FLD-UP-01,Team,Flood,Uplands,95.0,284,3.83,0.7,,,62.7,1.0
FLD-UP-02,Team,Flood,Uplands,83.1,298,3.63,1.2,WFR-UP-02,,54.8,1.7
FLD-UP-03,Cache,Flood,Uplands,73.5,157,1.13,4.3,,,48.5,6.0
FLD-UP-04,Mobile,Flood,Uplands,70.7,436,3.92,2.6,,FLD-UP-03,46.7,3.6
FLD-UP-05,Contract,Flood,Uplands,43.1,383,1.13,6.2,,,28.4,8.7
FLD-UP-06,Contract,Flood,Uplands,52.1,491,1.41,7.3,,,34.4,10.2
WFR-UP-01,Team,Wildfire,Uplands,80.6,313,3.84,2.1,,,,
WFR-UP-02,Team,Wildfire,Uplands,92.8,357,4.29,1.5,,,,
WFR-UP-03,Cache,Wildfire,Uplands,67.2,77,1.04,5.4,,,,
WFR-UP-04,Mobile,Wildfire,Uplands,88.0,420,4.41,1.9,,WFR-UP-03,,
