asset_class,quarter,disruption_factor,capex_factor
Transmission,Q1,1.15,1.12
Transmission,Q2,0.75,1.02
Transmission,Q3,1.55,1.04
Transmission,Q4,0.85,1.06
Substation,Q1,1.25,1.00
Substation,Q2,0.80,1.02
Substation,Q3,1.50,1.04
Substation,Q4,0.90,1.06
Thermal,Q1,1.30,1.00
Thermal,Q2,0.70,1.02
Thermal,Q3,1.70,1.04
Thermal,Q4,0.75,1.06
Hydro,Q1,0.85,1.00
Hydro,Q2,1.40,1.06
Hydro,Q3,1.10,1.04
Hydro,Q4,0.80,1.06
Distribution,Q1,1.20,1.10
Distribution,Q2,0.85,1.02
Distribution,Q3,1.25,1.04
Distribution,Q4,0.95,1.06
