vendor,category,annual_cost_kusd,capability_1_5,transition_risk_0_10,lock_years,conflicts_with
Beacon Telemetry,Observability,159.1,2.0,6.7,3,
Aldercrest Inc,Observability,308.9,2.6,3.9,2,
Vantorra Signals,Observability,319.7,2.3,3.4,0,
Northwind Data Systems,DataPlatform,361.8,2.5,2.6,0,
Kestrel Lakehouse,DataPlatform,330.3,4.9,5.8,3,
Ambervale Data,DataPlatform,199.5,2.1,5.9,0,
Pikefall Build,DevOps,239.2,2.3,5.2,2,
Ridgeway Pipelines,DevOps,235.1,1.8,4.8,4,
Calderon CI,DevOps,218.3,2.8,6.2,0,
Quillon Security Labs,SecurityOps,217.9,3.1,6.5,0,
Harrowgate Shield,SecurityOps,258.6,2.6,5.1,0,Marlowe Endpoint
Ferrolane Defense,SecurityOps,266.1,2.1,4.4,0,
Windmere Workspace,Collaboration,99.2,2.5,8.6,0,
Tallow Chat,Collaboration,28.0,1.7,9.4,0,
Ashbury Docs,Collaboration,94.0,1.8,8.0,0,
Fairholt CRM,CRM,116.0,1.8,7.5,2,
Brightlow Sales,CRM,127.1,1.9,7.4,0,
Cormorant Pipeline,CRM,192.9,2.6,6.6,0,
Thornbury Analytics,Analytics,176.3,2.4,7.3,0,
Greyloch Insights,Analytics,217.6,2.2,5.6,2,
Solvarra BI,Analytics,330.9,2.5,3.3,2,
Hollowmere Service,ITSM,425.0,2.0,0.7,4,
Dunlin Desk,ITSM,346.6,1.9,2.4,2,
Ravensmoor ITSM,ITSM,395.2,1.8,1.2,0,
