vendor,category,annual_cost_kusd,capability_0_100,transition_risk_0_10,lock_years,conflicts_with
Aldercrest,Observability,305.0,40,4.0,0,
Perinox Observability,Observability,254.1,34,4.9,0,
Torrey Metrics,Observability,181.9,39,6.8,2,
NW Data,DataPlatform,357.8,38,2.7,2,
Sablefish Warehouse,DataPlatform,221.6,68,7.0,2,
Corvid Tables,DataPlatform,198.5,39,,0,
Umbra Deploy,DevOps,230.1,40,5.7,3,
Selkirk Runners,DevOps,154.6,38,7.4,0,
Halloway Build Cloud,DevOps,63.0,23,8.8,0,
Quillon Labs,SecurityOps,213.9,52,6.6,0,
Ostrander Security,SecurityOps,348.1,29,2.6,0,
Marlowe Endpoint,SecurityOps,357.5,33,2.6,0,
Lumen Rooms,Collaboration,200.8,44,6.5,0,
Petrichor Notes,Collaboration,175.4,26,,0,
Vellum Boards,Collaboration,313.8,46,4.1,0,
Estvale Customer,CRM,315.9,24,3.1,5,
Marchmont CRM,CRM,372.8,32,2.2,3,
Juniper Deals,CRM,278.1,36,4.5,0,
Peregrine Charts,Analytics,271.1,56,5.4,3,
Oakhurst Metrics,Analytics,172.3,39,7.0,0,
Sillith Reports,Analytics,231.1,33,5.4,0,
Copperfield Tickets,ITSM,378.4,19,1.5,3,
Alder Grove Service,ITSM,214.0,18,5.2,0,
Wrenfield Ops,ITSM,327.3,23,2.8,0,
